,name,year,rating,metascore,num_votes
184,Aan,1952,7.1,,252.0
185,Daag,1952,7.1,,148.0
186,Jaal,1952,7.4,,98.0
187,Sangdil,1952,7.4,,81.0
188,Anand Math,1952,7.5,,80.0
189,Bewafa,1952,7.4,,61.0
190,Anhonee,1952,7.3,,58.0
191,Amber,1952,6.8,,51.0
192,Ashiana,1952,7.6,,37.0
193,Tamasha,1952,7.7,,37.0
194,Chhatrapati Shivaji,1952,8.1,,31.0
195,Aandhiyan,1952,7.3,,27.0
196,Mr. Sampat,1952,7.3,,24.0
197,Parchhaiyan,1952,5.9,,16.0
198,Aladdin and the Wonderful Lamp,1952,5.6,,15.0
199,Vidyasagar,1952,8.0,,13.0
200,Maa,1952,7.2,,12.0
201,Saqi,1952,6.4,,12.0
202,Baghdad,1952,6.5,,11.0
203,Deewana,1952,5.0,,10.0
204,Sinbad Jahazi,1952,4.0,,8.0
205,Nau Bahar,1952,6.2,,8.0
206,Raja Harishchandra,1952,6.1,,7.0
207,Zalzala,1952,7.3,,7.0
208,Shrimati Ji,1952,4.1,,7.0
209,Izzat,1952,6.4,,5.0
210,Yatrik,1952,8.0,,5.0
211,Nazaria,1952,,,
212,Sindbad the Sailor,1952,,,
213,Kyonji,1952,,,
214,Resham,1952,,,
215,Jaggu,1952,,,
216,Amnol Sahara,1952,,,
217,Ajeeb Ladki,1952,,,
218,Insaan,1952,,,
219,Doag,1952,,,
220,Devyani,1952,,,
221,Sanskar,1952,,,
222,Zamane Ki Hawa,1952,,,
223,Shisham,1952,,,
224,Raag Rang,1952,,,
225,Hyderabad Ki Nazneen,1952,,,
226,Do Raha,1952,,,
227,Sapna,1952,,,
228,Veer Arjun,1952,,,
229,Vasna,1952,,,
230,Tarang,1952,,,
231,Fuji-Lama,1952,,,
232,Draupadi Vastraharan,1952,,,
233,Hamari Duniya,1952,,,
234,Kafila,1952,,,
235,Jalpari,1952,,,
236,Bhule Bhatke,1952,,,
237,Betaab,1952,,,
238,Usha Kiron,1952,,,
239,Sandesh,1952,,,
240,Shin Shinaki Boobla Boo,1952,,,
241,Chham Chhama Chham,1952,,,
242,Poonam,1952,,,
243,Rani,II) (1952,,,
244,Vishwamitra,II) (1952,,,
245,Rajrani Damayanti,1952,,,
246,Lanka Dahan,1952,,,
247,Indrasen,1952,,,
248,Rangili,1952,,,
249,Chamkee,1952,,,
250,Krishna Kanhaiya,1952,,,
251,Goonj,1952,,,
252,Dhobi Doctor,1952,,,
253,Sheesha,1952,,,
254,Badnam,1952,,,
255,Vanraj,1952,,,
256,Khubsurat,1952,,,
257,Jeet Kiski,1952,,,
258,Mamta,1952,,,
259,Shiv Leela,1952,,,
260,Parbat,1952,,,
261,Shiv Shakti,1952,,,
262,Nishan Danka,1952,,,
263,Neelam Pari,1952,,,
264,Nanhe Munne,1952,,,
265,Bhakta Puran,1952,,,
266,Moti Mahal,1952,,,
267,Lal Kunwar,1952,,,
268,Aasmaan,1952,,,
269,Chhoti Maa,1952,,,
270,Ghungroo,1952,,,
271,Apni Izzat,1952,,,
272,Mordhwaj,1952,,,
273,Saloni,1952,,,
274,Annadata,1952,,,
275,Anjaam,1952,,,
276,Do Bigha Zamin,1953,8.4,,1660.0
277,Aah,1953,7.2,,250.0
278,Parineeta,1953,6.7,,111.0
279,Baaz,1953,7.0,,82.0
280,Jhansi Ki Rani,1953,7.0,,78.0
281,Anarkali,1953,7.2,,67.0
282,Patita,1953,7.8,,61.0
283,Foot Path,1953,7.4,,49.0
284,Papi,1953,7.6,,42.0
285,Shikast,1953,7.1,,34.0
286,Shole,1953,7.2,,31.0
287,Daera,1953,6.6,,31.0
288,Rahi,1953,6.9,,28.0
289,Rail Ka Dibba,1953,7.5,,22.0
290,Teen Batti Char Raasta,1953,7.3,,18.0
291,Dhoon,1953,7.2,,18.0
292,Armaan,1953,6.6,,17.0
293,Ladki,1953,5.8,,16.0
294,Aurat,1953,4.9,,15.0
295,Jeewan Jyoti,1953,5.8,,13.0
296,Aas,1953,4.9,,13.0
297,Laila Majnu,1953,7.2,,13.0
298,Alif-Laila,1953,6.2,,10.0
299,Dil-E-Nadan,1953,6.3,,9.0
300,Shahenshah,1953,4.6,,9.0
301,Naulakha Haar,1953,6.4,,8.0
302,Humsafar,1953,7.3,,7.0
303,Aabshar,1953,5.0,,5.0
304,Gorilla,1953,,,
305,Farmaish,1953,,,
306,Gauhar,1953,,,
307,Shamsherbaaz,1953,,,
308,Fareb,1953,,,
309,Laharen,1953,,,
310,Humdard,1953,,,
311,Mashooka,1953,,,
312,Ek Do Teen,1953,,,
313,Aaghosh,II) (1953,,,
314,Husn Ka Chor,1953,,,
315,Madmust,1953,,,
316,Aag Ka Dariya,1953,,,
317,Jungle Ka Jawahar,1953,,,
318,Gunah,1953,,,
319,Anand Bhawan,1953,,,
320,Shyama,1953,,,
321,Dhuaan,1953,,,
322,Raj Ratan,1953,,,
323,Hari Darshan,1953,,,
324,Dharma Pathni,1953,,,
325,Char Chand,1953,,,
326,Naag Panchami,1953,,,
327,Suhag Sindoor,1953,,,
328,Bahu Beti,1953,,,
329,Babla,1953,,,
330,Thokar,1953,,,
331,Chalis Baba Ek Chor,1953,,,
332,Mehmaan,1953,,,
333,Shagufa,1953,,,
334,Lehren,1953,,,
335,Chandirani,III) (1953,,,
336,Bahadur,1953,,,
337,Gharbaar,1953,,,
338,Chacha Chowdhury,1953,,,
339,Shamsheer,1953,,,
340,Nav Durga,1953,,,
341,Naya Ghar,1953,,,
