name,year,rating,metascore,num_votes
Deewana,1952,5.0,,10.0
Sinbad Jahazi,1952,4.0,,8.0
Nau Bahar,1952,6.2,,8.0
Raja Harishchandra,1952,6.1,,7.0
Zalzala,1952,7.3,,7.0
Shrimati Ji,1952,4.1,,7.0
Izzat,1952,6.4,,5.0
Yatrik,1952,8.0,,5.0
Nazaria,1952,,,
Sindbad the Sailor,1952,,,
Kyonji,1952,,,
Resham,1952,,,
Jaggu,1952,,,
Amnol Sahara,1952,,,
Ajeeb Ladki,1952,,,
Insaan,1952,,,
Doag,1952,,,
Devyani,1952,,,
Sanskar,1952,,,
Zamane Ki Hawa,1952,,,
Shisham,1952,,,
Raag Rang,1952,,,
Hyderabad Ki Nazneen,1952,,,
Do Raha,1952,,,
Sapna,1952,,,
Veer Arjun,1952,,,
Vasna,1952,,,
Tarang,1952,,,
Fuji-Lama,1952,,,
Draupadi Vastraharan,1952,,,
Hamari Duniya,1952,,,
Kafila,1952,,,
Jalpari,1952,,,
Bhule Bhatke,1952,,,
Betaab,1952,,,
Usha Kiron,1952,,,
Sandesh,1952,,,
Shin Shinaki Boobla Boo,1952,,,
Chham Chhama Chham,1952,,,
Poonam,1952,,,
Rani,II) (1952,,,
Vishwamitra,II) (1952,,,
Rajrani Damayanti,1952,,,
Lanka Dahan,1952,,,
Indrasen,1952,,,
Rangili,1952,,,
Chamkee,1952,,,
Krishna Kanhaiya,1952,,,
Goonj,1952,,,
Dhobi Doctor,1952,,,
Sheesha,1952,,,
Badnam,1952,,,
Vanraj,1952,,,
Khubsurat,1952,,,
Jeet Kiski,1952,,,
Mamta,1952,,,
Shiv Leela,1952,,,
Parbat,1952,,,
Shiv Shakti,1952,,,
Nishan Danka,1952,,,
Neelam Pari,1952,,,
Nanhe Munne,1952,,,
Bhakta Puran,1952,,,
Moti Mahal,1952,,,
Lal Kunwar,1952,,,
Aasmaan,1952,,,
Chhoti Maa,1952,,,
Ghungroo,1952,,,
Apni Izzat,1952,,,
Mordhwaj,1952,,,
Saloni,1952,,,
Annadata,1952,,,
Anjaam,1952,,,
Do Bigha Zamin,1953,8.4,,1668.0
Aah,1953,7.2,,251.0
Parineeta,1953,6.8,,115.0
Baaz,1953,6.9,,83.0
Jhansi Ki Rani,1953,6.9,,79.0
Anarkali,1953,7.2,,67.0
Patita,1953,7.8,,61.0
Foot Path,1953,7.4,,50.0
Papi,1953,7.7,,43.0
